MONITORAMENTO MÉTODO EVENTOS RAROS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
JOGOS," R$  2.829,12 ", LUCRO/PREJUIZO,DETALHES,ACUMULADO,,,,,,,,,,,,
"Hamburger SV x Greuther Furth : Mais/Menos de 3,5 Gols",21-out.,"-R$  28,89 ",," R$  2.920,83 ",,,,,,,,,,,,
"Liverpool x Everton : Mais/Menos de 1,5 Gols",21-out.,"-R$  4,42 ",," R$  2.916,41 ",,,,,,,,,,,,
"Verona x Napoli : Mais/Menos de 4,5 Gols",21-out.,"-R$  43,00 ",," R$  2.873,41 ",,,,,,,,,,,,
" Manchester City x Liverpool : Mais/Menos de 3,5 Gols",25-out.,"-R$  17,79 ",," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,PERCENTUAL DE LUCRO SOBRE A BANCA,,,,,,,,,,"0,00"
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
,,,," R$  2.855,62 ",,,,,,,,,,,,
